time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,2,3,2,2,1,4,4,3,32,26,73,43,58%,42%,True
fh,Gambia Division 2,GOOD,GOOD,0,0,3,5,8,12,6,8,66,81,113,103,48%,52%,True
lh,Gambia Division 2,GOOD,GOOD,0,0,2,4,6,6,3,4,27,42,50,55,47%,53%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,3,5,5,4,6,7,64,68,112,118,49%,51%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,1,2,2,2,2,4,37,42,56,70,47%,53%,True
fh,Kuwait Cup,GOOD,GOOD,1,0,3,0,4,0,4,4,52,44,79,78,52%,48%,True
lh,Kuwait Cup,GOOD,GOOD,1,0,1,6,3,0,4,0,28,13,39,33,51%,49%,True
fh,Gambia GFA League,GOOD,GOOD,0,1,2,1,4,4,13,3,80,43,103,84,48%,52%,False
lh,Gambia GFA League,GOOD,GOOD,0,2,1,0,3,2,6,3,38,25,47,40,52%,48%,False
fh,Cyprus Division 1,GOOD,GOOD,1,0,3,3,4,5,6,7,51,41,102,71,52%,48%,True
lh,Cyprus Division 1,GOOD,GOOD,1,0,3,4,2,1,4,1,31,18,59,26,59%,41%,True
fh,Turkey Super Lig,GOOD,GOOD,1,1,3,1,3,8,13,7,71,46,81,62,63%,37%,False
lh,Turkey Super Lig,GOOD,GOOD,1,2,6,0,2,4,4,4,29,22,36,24,65%,35%,True
fh,Israel Leumit Liga,GOOD,GOOD,1,0,0,2,7,0,6,1,36,43,89,93,48%,52%,True
lh,Israel Leumit Liga,GOOD,GOOD,2,0,0,4,3,0,0,1,16,23,46,45,50%,50%,True
fh,Israel Leumit Liga,GOOD,GOOD,2,0,0,4,5,9,6,3,54,83,159,160,45%,55%,True
lh,Israel Leumit Liga,GOOD,GOOD,4,4,0,1,2,2,3,1,21,45,72,93,43%,57%,False
fh,Israel Leumit Liga,GOOD,GOOD,0,1,2,2,1,4,8,3,26,40,83,98,46%,54%,False
lh,Israel Leumit Liga,GOOD,GOOD,0,2,1,6,0,1,5,0,10,14,38,47,49%,51%,False
fh,Turkey 1 Lig,GOOD,GOOD,1,0,3,2,4,3,7,7,69,90,89,115,46%,54%,True
lh,Turkey 1 Lig,GOOD,GOOD,2,3,3,3,2,0,5,3,35,38,53,59,49%,51%,False
fh,Tanzania Premier Le...,GOOD,GOOD,1,0,2,2,4,2,9,4,55,39,94,84,36%,64%,True
lh,Tanzania Premier Le...,GOOD,GOOD,2,0,3,1,1,0,4,2,32,22,44,41,36%,64%,False
fh,Bahrain Cup,GOOD,GOOD,0,2,1,2,0,7,7,5,52,42,91,109,46%,54%,True
lh,Bahrain Cup,GOOD,GOOD,0,2,4,3,0,4,0,3,12,20,36,60,40%,60%,True
fh,Holland Eerste Divisie,GOOD,GOOD,0,1,2,3,3,4,7,5,70,62,134,112,46%,54%,False
lh,Holland Eerste Divisie,GOOD,GOOD,0,2,5,6,2,1,3,1,30,27,59,57,42%,58%,False
fh,Portugal Cup,GOOD,GOOD,1,0,1,7,3,2,3,13,60,102,105,128,49%,51%,True
lh,Portugal Cup,GOOD,GOOD,2,1,2,2,1,0,1,5,24,48,50,58,51%,49%,False
fh,Belgium Reserve League,GOOD,GOOD,3,0,1,0,6,0,2,6,63,46,136,113,56%,44%,False
lh,Belgium Reserve League,GOOD,GOOD,4,0,0,2,4,0,1,0,44,11,74,48,64%,36%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,2,5,2,7,7,14,81,108,106,146,41%,59%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,1,3,1,3,4,4,41,48,54,73,40%,60%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,3,6,3,8,7,15,34,76,53,86,35%,65%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,2,3,2,3,1,2,4,11,17,39,26,50,35%,65%,True
fh,Israel Premier League,GOOD,GOOD,1,0,1,1,13,3,5,4,51,24,95,81,65%,35%,False
lh,Israel Premier League,GOOD,GOOD,2,1,2,0,6,1,1,3,21,14,41,45,62%,38%,False
fh,Sao Paulo Youth Cup,GOOD,GOOD,0,0,4,3,3,2,5,4,84,67,104,108,58%,42%,True
lh,Sao Paulo Youth Cup,GOOD,GOOD,0,2,4,1,0,0,2,3,40,33,45,62,52%,48%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,3,1,6,3,5,6,45,62,72,90,40%,60%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,2,3,4,2,1,3,3,18,31,34,44,40%,60%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,2,1,2,4,6,11,4,46,43,83,95,55%,45%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,3,2,2,2,4,7,2,24,20,44,53,56%,44%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,3,0,0,1,7,2,122,47,135,85,70%,30%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,7,0,0,1,4,0,55,26,66,57,64%,36%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,2,3,6,1,7,9,17,49,70,108,117,42%,58%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,5,1,1,0,3,2,8,22,38,60,58,41%,59%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,0,4,2,5,6,10,58,86,113,165,34%,66%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,3,4,1,3,1,5,24,41,55,87,30%,70%,False
fh,Colombia Women Regi...,GOOD,GOOD,1,3,1,0,9,6,7,2,65,45,112,92,54%,46%,False
lh,Colombia Women Regi...,GOOD,GOOD,4,3,0,1,2,5,5,1,31,21,49,41,54%,46%,False
fh,England Premier Lea...,GOOD,GOOD,0,0,2,5,5,5,7,12,42,53,56,77,46%,54%,True
lh,England Premier Lea...,GOOD,GOOD,1,1,2,3,0,3,5,8,18,32,25,35,45%,55%,True
fh,England Premier Lea...,GOOD,GOOD,0,1,0,2,3,5,6,9,51,72,117,122,52%,48%,False
lh,England Premier Lea...,GOOD,GOOD,1,2,0,2,2,2,4,4,27,38,62,58,55%,45%,False
fh,England Premier Lea...,GOOD,GOOD,1,0,1,2,8,6,9,6,57,54,108,100,41%,59%,True
lh,England Premier Lea...,GOOD,GOOD,2,2,2,6,5,1,5,4,30,22,54,48,41%,59%,True
fh,Africa Cup of Nations,GOOD,GOOD,0,1,1,0,2,3,8,5,75,54,121,112,60%,40%,False
lh,Africa Cup of Nations,GOOD,GOOD,0,1,2,1,0,1,4,2,28,24,53,51,55%,45%,False
fh,England Premier Lea...,GOOD,GOOD,1,0,5,2,5,8,6,5,60,43,73,53,49%,51%,True
lh,England Premier Lea...,GOOD,GOOD,1,1,4,6,4,2,2,3,30,18,38,29,43%,57%,True
fh,England Premier Lea...,GOOD,GOOD,0,0,2,3,0,5,1,13,32,45,91,89,56%,44%,True
lh,England Premier Lea...,GOOD,GOOD,0,1,1,2,0,3,1,7,16,25,47,43,58%,42%,True
fh,England Premier Lea...,GOOD,GOOD,1,0,3,0,4,3,11,3,73,47,109,80,62%,38%,False
lh,England Premier Lea...,GOOD,GOOD,2,0,1,1,3,1,6,1,39,20,58,46,60%,40%,True
fh,England Premier Lea...,GOOD,GOOD,0,0,4,3,11,2,11,7,53,24,87,79,47%,53%,True
lh,England Premier Lea...,GOOD,GOOD,3,0,1,1,6,2,3,3,24,16,32,43,37%,63%,False
fh,Gambia GFA League,GOOD,GOOD,0,1,1,0,3,6,6,2,53,44,88,86,48%,52%,False
lh,Gambia GFA League,GOOD,GOOD,1,2,2,0,1,4,4,1,25,21,54,50,51%,49%,True
fh,England FA Cup Qual...,GOOD,GOOD,0,3,0,3,3,6,0,2,38,55,85,91,41%,59%,True
lh,England FA Cup Qual...,GOOD,GOOD,2,4,0,6,0,3,0,1,24,23,43,48,42%,58%,True
fh,Northern Ireland Re...,GOOD,GOOD,2,1,3,0,5,5,8,1,29,29,72,69,44%,56%,False
lh,Northern Ireland Re...,GOOD,GOOD,2,3,3,3,3,2,3,1,13,15,40,38,43%,57%,False
fh,Isthmian Premier Di...,ARTIFICIALTURF,COLD,0,0,3,1,3,2,9,1,32,28,78,62,57%,43%,False
lh,Isthmian Premier Di...,ARTIFICIALTURF,COLD,1,0,6,2,0,1,5,0,17,14,40,31,54%,46%,True
fh,Barclays Premier Le...,GOOD,GOOD,1,0,3,3,9,4,7,8,77,95,97,90,54%,46%,False
lh,Barclays Premier Le...,GOOD,GOOD,1,0,3,3,5,2,8,5,47,39,57,33,61%,39%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,3,1,14,3,15,4,104,57,141,124,56%,44%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,2,9,0,6,2,7,2,43,31,81,62,53%,47%,True
fh,Spain Primera Liga,GOOD,GOOD,1,2,6,0,4,2,5,1,106,44,128,103,57%,43%,True
lh,Spain Primera Liga,GOOD,GOOD,1,2,7,0,4,2,1,1,42,20,50,50,55%,45%,True
fh,Spain Segunda,GOOD,GOOD,1,0,5,0,5,2,7,6,80,65,101,108,55%,45%,False
lh,Spain Segunda,GOOD,GOOD,1,1,5,3,3,0,5,1,38,23,47,51,61%,39%,True
fh,Holland Eerste Divisie,GOOD,GOOD,3,1,2,3,8,5,10,10,49,75,85,126,53%,47%,True
lh,Holland Eerste Divisie,GOOD,GOOD,5,1,2,6,5,2,6,3,27,36,43,66,55%,45%,True
fh,Portugal Primeira Liga,GOOD,GOOD,1,0,4,1,8,3,9,5,59,66,94,105,47%,53%,False
lh,Portugal Primeira Liga,GOOD,GOOD,3,2,2,0,5,1,5,1,28,34,49,50,51%,49%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,2,1,5,1,6,7,8,37,84,72,100,39%,61%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,3,0,0,0,3,2,3,13,45,30,54,34%,66%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,1,2,3,1,6,6,50,53,117,135,49%,51%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,4,0,2,0,1,2,17,33,56,81,39%,61%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,3,4,3,6,6,11,10,55,72,88,116,45%,55%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,5,3,2,4,4,4,4,32,37,45,59,43%,57%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,2,1,4,2,17,2,90,38,131,88,66%,34%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,10,0,0,2,4,2,38,25,60,53,62%,38%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,2,3,2,7,5,12,54,91,95,129,43%,57%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,1,2,2,3,5,6,28,45,41,59,48%,52%,False
fh,Brazil Campeonato P...,GOOD,GOOD,0,0,2,5,0,7,2,6,32,102,59,107,28%,72%,True
lh,Brazil Campeonato P...,GOOD,GOOD,0,2,1,2,0,3,0,2,16,47,35,50,29%,71%,True
fh,Mexico Liga MX Femenil,GOOD,GOOD,0,2,0,2,3,9,2,6,27,91,78,150,34%,66%,False
lh,Mexico Liga MX Femenil,GOOD,GOOD,1,3,1,1,1,4,1,4,12,48,44,73,31%,69%,False
fh,Mexico Liga MX Femenil,GOOD,GOOD,0,1,2,5,2,3,12,9,89,67,116,114,50%,50%,True
lh,Mexico Liga MX Femenil,GOOD,GOOD,1,1,4,4,0,2,8,3,46,37,51,54,47%,53%,False
fh,Mexico Liga MX Femenil,GOOD,GOOD,1,3,1,2,5,8,3,3,89,47,159,102,50%,50%,True
lh,Mexico Liga MX Femenil,GOOD,GOOD,1,4,2,1,2,6,0,3,34,27,62,51,43%,57%,True
fh,Mexico Apertura,GOOD,GOOD,1,0,4,0,13,2,14,2,37,23,110,68,53%,47%,True
lh,Mexico Apertura,GOOD,GOOD,5,0,3,2,6,1,8,2,21,17,53,30,54%,46%,False
fh,Mexico Liga MX Femenil,GOOD,GOOD,2,1,2,2,3,4,7,3,23,15,16,19,50%,50%,True
lh,Mexico Liga MX Femenil,GOOD,GOOD,2,1,7,1,2,3,3,2,12,11,8,7,57%,43%,False
fh,India Manipur State...,GOOD,GOOD,2,1,5,2,7,4,4,4,99,86,105,114,45%,55%,True
lh,India Manipur State...,GOOD,GOOD,4,2,1,1,3,2,1,1,54,35,47,55,46%,54%,False
fh,India Manipur State...,GOOD,GOOD,0,4,0,4,0,11,4,8,81,114,146,127,50%,50%,False
lh,India Manipur State...,GOOD,GOOD,0,8,2,2,0,5,2,4,44,51,78,61,52%,48%,False
fh,Indonesia Super Liga,GOOD,GOOD,1,0,2,1,3,0,4,6,45,52,78,75,44%,56%,False
lh,Indonesia Super Liga,GOOD,GOOD,3,0,2,4,1,0,0,4,16,27,42,42,45%,55%,True
fh,Algeria Womens Cup,GOOD,SUNNY,3,0,6,0,19,0,23,0,87,3,106,89,47%,53%,True
lh,Algeria Womens Cup,GOOD,SUNNY,6,0,7,0,11,0,9,0,37,1,59,47,50%,50%,False
fh,Algeria Womens League,GOOD,GOOD,0,5,0,5,3,14,3,9,27,70,95,100,55%,45%,False
lh,Algeria Womens League,GOOD,GOOD,1,7,1,2,0,10,2,5,11,38,50,51,52%,48%,False
fh,Indonesia Super Liga,GOOD,GOOD,0,2,0,3,5,6,9,20,59,87,119,160,43%,57%,False
lh,Indonesia Super Liga,GOOD,GOOD,1,2,6,2,3,4,1,9,21,54,57,88,43%,57%,True
fh,Tipsport Liga,GOOD,GOOD,1,0,4,3,5,5,9,2,88,59,128,92,55%,45%,True
lh,Tipsport Liga,GOOD,GOOD,3,2,1,2,2,1,4,1,48,26,70,47,55%,45%,False
fh,Sri Lanka Champions...,GOOD,GOOD,1,1,4,0,7,6,17,5,65,28,90,61,54%,46%,False
lh,Sri Lanka Champions...,GOOD,GOOD,2,3,1,1,2,3,6,2,35,17,47,38,53%,47%,True
fh,Algeria Womens League,GOOD,GOOD,0,1,5,0,17,2,9,1,93,24,154,102,59%,41%,False
lh,Algeria Womens League,GOOD,GOOD,4,1,1,0,10,2,6,0,51,9,87,53,59%,41%,False
fh,Iran Div 1,GOOD,GOOD,0,0,3,3,4,1,8,5,58,41,82,89,52%,48%,False
lh,Iran Div 1,GOOD,GOOD,0,0,1,1,1,0,2,3,30,25,38,46,48%,52%,False
fh,Iran Div 1,GOOD,GOOD,1,0,0,2,3,3,4,3,42,46,63,69,45%,55%,True
lh,Iran Div 1,GOOD,GOOD,2,1,2,1,1,0,1,2,15,26,34,36,45%,55%,True
fh,Iran Div 1,GOOD,GOOD,0,1,0,2,0,1,20,7,57,34,117,91,55%,45%,False
lh,Iran Div 1,GOOD,GOOD,0,1,5,2,0,1,3,3,22,16,55,41,58%,42%,True
fh,Portugal U23 League,GOOD,GOOD,1,0,4,2,7,8,11,7,52,78,106,123,45%,55%,True
lh,Portugal U23 League,GOOD,GOOD,5,1,0,7,3,1,8,1,31,23,58,57,47%,53%,False
fh,England U23 Develop...,GOOD,GOOD,0,0,2,5,1,6,4,2,33,45,89,86,52%,48%,False
lh,England U23 Develop...,GOOD,GOOD,0,2,1,3,0,1,4,0,19,22,40,43,45%,55%,False
fh,Iraq League,GOOD,GOOD,0,0,1,1,1,0,2,2,86,79,104,107,45%,55%,False
lh,Iraq League,GOOD,GOOD,0,0,2,2,0,0,2,1,36,39,49,55,45%,55%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,1,1,3,5,5,11,36,59,82,102,40%,60%,False
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,3,1,1,1,2,1,6,7,27,39,58,34%,66%,False
fh,Israel Liga Alef South,GOOD,GOOD,0,0,3,1,0,0,6,4,98,35,114,77,68%,32%,False
lh,Israel Liga Alef South,GOOD,GOOD,0,0,5,0,0,0,2,2,44,14,61,42,66%,34%,True
fh,Saudi Arabia Divisi...,GOOD,GOOD,1,0,1,2,4,2,2,6,25,37,67,103,45%,55%,True
lh,Saudi Arabia Divisi...,GOOD,GOOD,1,1,3,1,1,0,0,3,9,25,25,55,51%,49%,True
fh,Saudi Arabia Premie...,GOOD,GOOD,0,2,3,2,2,7,6,8,56,84,94,122,41%,59%,True
lh,Saudi Arabia Premie...,GOOD,GOOD,0,4,0,4,2,4,4,4,31,31,46,53,42%,58%,False
fh,Oman League,GOOD,GOOD,0,0,1,4,1,3,2,1,25,37,60,71,37%,63%,True
lh,Oman League,GOOD,GOOD,0,3,1,2,0,0,1,0,10,20,34,33,35%,65%,False
fh,UAE Premier League,GOOD,GOOD,1,0,0,5,6,4,10,10,84,60,120,88,60%,40%,True
lh,UAE Premier League,GOOD,GOOD,3,1,5,1,1,1,5,8,40,35,60,43,56%,44%,True
fh,Africa Cup of Nations,GOOD,GOOD,0,0,4,1,8,2,11,7,52,21,84,60,61%,39%,True
lh,Africa Cup of Nations,GOOD,GOOD,0,0,6,1,2,1,2,5,21,13,45,31,62%,38%,True
fh,England U23 Develop...,GOOD,GOOD,0,0,3,3,0,2,2,2,33,43,65,86,40%,60%,True
lh,England U23 Develop...,GOOD,GOOD,0,0,2,4,0,0,1,0,18,17,31,40,42%,58%,False
fh,England Reserve Mat...,GOOD,GOOD,0,3,0,4,2,10,2,9,28,81,57,100,51%,49%,False
lh,England Reserve Mat...,GOOD,GOOD,0,5,2,5,0,4,0,5,10,36,34,48,53%,47%,False
fh,England U23 Develop...,GOOD,GOOD,2,1,4,0,5,5,4,3,51,37,113,99,55%,45%,True
lh,England U23 Develop...,GOOD,GOOD,3,2,1,4,4,2,3,2,30,13,57,46,60%,40%,False
fh,England U23 Develop...,GOOD,GOOD,0,2,3,4,10,4,6,1,86,58,105,98,58%,42%,True
lh,England U23 Develop...,GOOD,GOOD,3,4,6,1,3,2,3,0,40,32,53,49,55%,45%,True
fh,Oman League,GOOD,GOOD,0,0,0,0,3,2,3,6,23,20,84,79,54%,46%,False
lh,Oman League,GOOD,GOOD,2,1,2,2,1,0,2,3,9,6,44,37,54%,46%,False
fh,Europe Friendlies,GOOD,GOOD,2,0,4,2,4,3,10,5,55,52,94,118,44%,56%,True
lh,Europe Friendlies,GOOD,GOOD,2,2,4,3,3,1,3,4,30,26,36,64,40%,60%,False
fh,England Reserve Mat...,GOOD,GOOD,0,4,0,3,2,6,2,1,48,57,62,59,56%,44%,False
lh,England Reserve Mat...,GOOD,GOOD,0,4,2,6,0,5,2,0,26,27,35,30,66%,34%,False
fh,Europe Friendlies,GOOD,GOOD,0,0,2,2,3,1,9,1,76,45,135,82,65%,35%,False
lh,Europe Friendlies,GOOD,GOOD,2,0,1,4,1,1,6,0,43,19,71,42,65%,35%,False
fh,Iraq Cup,GOOD,GOOD,1,2,5,1,2,2,10,8,67,37,85,69,48%,52%,False
lh,Iraq Cup,GOOD,GOOD,2,2,6,1,1,2,5,6,28,20,43,36,50%,50%,False
fh,England U23 Develop...,GOOD,GOOD,0,0,5,0,4,1,9,6,38,39,79,84,52%,48%,False
lh,England U23 Develop...,GOOD,GOOD,0,0,2,4,2,1,5,0,22,12,52,41,53%,47%,True
fh,Iraq League,GOOD,GOOD,1,1,1,1,3,4,2,4,90,66,114,87,57%,43%,False
lh,Iraq League,GOOD,GOOD,1,3,5,2,3,4,2,4,90,66,114,87,57%,43%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,0,5,2,6,3,12,40,58,79,109,45%,55%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,2,2,7,2,6,3,12,40,58,79,109,45%,55%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,0,0,4,6,2,8,5,37,50,107,128,42%,58%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,2,0,3,1,6,2,8,5,37,50,107,128,42%,58%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,2,1,7,2,9,3,6,47,75,107,117,47%,53%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,5,1,2,2,9,3,6,47,75,107,117,47%,53%,False
fh,Gambia Division 2,GOOD,GOOD,0,2,5,3,6,3,9,2,76,41,88,80,51%,49%,True
lh,Gambia Division 2,GOOD,GOOD,0,2,7,1,3,3,4,2,31,24,44,43,48%,52%,False
fh,International Match,GOOD,GOOD,1,0,1,0,4,2,11,3,62,27,111,79,49%,51%,False
lh,International Match,GOOD,GOOD,1,0,5,3,2,1,3,0,28,6,50,32,54%,46%,True
fh,Oman League,GOOD,GOOD,0,0,4,1,7,3,2,4,36,40,65,57,53%,47%,True
lh,Oman League,GOOD,GOOD,2,1,2,0,2,0,0,2,15,14,35,26,58%,42%,False
fh,Gambia Division 2,GOOD,GOOD,0,1,3,3,9,8,12,10,49,39,117,95,53%,47%,False
lh,Gambia Division 2,GOOD,GOOD,0,1,5,1,4,6,6,5,24,25,60,54,49%,51%,True
fh,Gambia Division 2,GOOD,GOOD,1,0,1,2,7,9,7,10,55,71,116,110,50%,50%,False
lh,Gambia Division 2,GOOD,GOOD,1,1,2,4,3,4,3,3,25,31,66,61,54%,46%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,2,1,4,1,8,8,11,85,78,113,97,48%,52%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,4,2,1,1,3,3,5,35,41,52,46,50%,50%,True
fh,Brazil Sao Paulo Yo...,GOOD,RAINY,0,2,9,2,10,7,20,11,122,63,147,112,63%,37%,True
lh,Brazil Sao Paulo Yo...,GOOD,RAINY,1,3,4,3,4,3,6,3,54,29,73,56,65%,35%,True
fh,Oman Federation Cup,GOOD,GOOD,0,2,1,1,3,5,3,7,10,39,73,94,37%,63%,True
lh,Oman Federation Cup,GOOD,GOOD,0,3,2,2,3,3,0,1,3,16,42,44,34%,66%,True
fh,Kuwait League,GOOD,GOOD,0,0,3,1,2,4,10,8,54,57,95,94,44%,56%,False
lh,Kuwait League,GOOD,GOOD,0,1,0,0,0,2,4,3,29,23,44,38,53%,47%,False
fh,Algeria Division 1,GOOD,GOOD,0,0,3,0,3,3,5,2,107,61,149,137,59%,41%,False
lh,Algeria Division 1,GOOD,GOOD,1,0,1,1,1,1,4,1,53,27,76,60,58%,42%,False
fh,Israel Leumit Liga,GOOD,GOOD,1,2,0,3,2,6,2,15,32,78,105,145,42%,58%,True
lh,Israel Leumit Liga,GOOD,GOOD,2,2,3,4,1,4,1,5,9,25,40,49,34%,66%,True
fh,Algeria Division 1,GOOD,GOOD,1,1,1,3,5,4,4,4,36,30,64,65,50%,50%,False
lh,Algeria Division 1,GOOD,GOOD,2,2,4,0,1,3,2,2,19,9,34,34,41%,59%,False
fh,Algeria Division 1,GOOD,GOOD,1,0,1,1,2,3,7,3,69,30,130,114,52%,48%,False
lh,Algeria Division 1,GOOD,GOOD,1,1,6,0,1,2,3,3,26,22,56,56,50%,50%,True
fh,Israel Liga Alef South,GOOD,GOOD,1,1,1,4,5,4,8,3,62,65,141,134,51%,49%,True
lh,Israel Liga Alef South,GOOD,GOOD,1,1,0,1,2,2,2,0,25,26,52,49,56%,44%,False
fh,Israel Cup,GOOD,GOOD,0,0,3,0,6,0,12,4,88,55,76,78,61%,39%,True
lh,Israel Cup,GOOD,GOOD,2,0,3,2,2,0,6,1,44,25,41,41,65%,35%,False
fh,Israel Cup,GOOD,GOOD,0,0,1,3,1,4,9,14,88,108,175,191,45%,55%,True
lh,Israel Cup,GOOD,GOOD,0,0,5,2,1,0,5,7,29,46,58,71,39%,61%,False
fh,Israel Premier League,GOOD,GOOD,1,1,1,1,4,5,4,10,74,132,134,187,43%,57%,False
lh,Israel Premier League,GOOD,GOOD,2,2,2,5,2,1,1,2,33,30,65,74,51%,49%,True
fh,Campeonato Cearense,GOOD,GOOD,1,1,4,2,4,6,9,6,31,23,86,62,58%,42%,True
lh,Campeonato Cearense,GOOD,GOOD,1,1,1,2,3,4,7,2,19,9,52,27,62%,38%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,0,2,5,3,5,7,9,34,63,95,121,39%,61%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,0,1,3,4,3,1,5,6,16,25,43,60,39%,61%,True
fh,Brazil Campeonato P...,GOOD,GOOD,0,0,1,3,5,2,4,9,61,75,69,74,47%,53%,False
lh,Brazil Campeonato P...,GOOD,GOOD,1,1,6,3,1,0,3,6,26,38,31,43,42%,58%,False
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,2,0,0,8,3,5,5,13,43,88,88,119,35%,65%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,2,0,0,5,3,1,2,6,19,44,49,62,37%,63%,True
fh,Brazil Sao Paulo Yo...,GOOD,GOOD,1,1,2,2,11,3,7,9,74,52,127,117,53%,47%,True
lh,Brazil Sao Paulo Yo...,GOOD,GOOD,3,2,1,2,6,2,5,3,38,20,66,46,62%,38%,True
fh,England League 1,GOOD,GOOD,0,0,2,2,5,3,10,9,43,56,90,101,47%,53%,True
lh,England League 1,GOOD,GOOD,2,1,7,3,2,1,4,6,16,28,42,58,42%,58%,True
fh,England EFL Trophy,GOOD,GOOD,2,1,0,2,9,2,3,7,64,28,116,95,59%,41%,False
lh,England EFL Trophy,GOOD,GOOD,4,1,6,1,3,2,0,4,21,16,53,47,59%,41%,True
fh,Africa - World Cup ...,GOOD,GOOD,0,0,2,0,4,3,6,6,37,37,87,114,43%,57%,True
lh,Africa - World Cup ...,GOOD,GOOD,0,0,1,0,2,0,2,3,26,19,36,61,41%,59%,False
fh,Campeonato Cearense,GOOD,GOOD,1,0,3,3,2,2,4,7,44,64,77,109,48%,52%,True
lh,Campeonato Cearense,GOOD,GOOD,1,0,5,3,1,0,2,4,22,28,46,50,48%,52%,True
fh,Belgium Super Leagu...,GOOD,GOOD,0,1,0,5,1,10,2,12,36,100,89,138,41%,59%,True
lh,Belgium Super Leagu...,GOOD,GOOD,0,3,2,6,1,5,0,5,18,55,49,77,40%,60%,False
fh,Iceland Cup,GOOD,GOOD,2,3,5,1,10,5,3,3,105,46,116,54,64%,36%,False
lh,Iceland Cup,GOOD,GOOD,4,3,4,3,4,4,1,0,56,26,76,34,66%,34%,False
fh,Gambia GFA League,GOOD,GOOD,0,0,0,3,1,1,7,10,35,35,77,81,45%,55%,False
lh,Gambia GFA League,GOOD,GOOD,0,0,2,2,0,1,3,3,15,15,33,36,46%,54%,False
fh,England League 2,GOOD,GOOD,3,1,2,4,3,7,8,6,65,22,94,91,44%,56%,True
lh,England League 2,GOOD,GOOD,3,2,1,2,3,4,3,1,27,8,52,35,48%,52%,False
fh,Northern Ireland Pr...,GOOD,GOOD,0,0,3,3,5,8,6,3,41,44,69,77,49%,51%,True
lh,Northern Ireland Pr...,GOOD,GOOD,0,1,1,4,5,3,3,0,22,24,38,32,50%,50%,False
fh,Southern League Div...,GOOD,GOOD,0,0,4,0,2,3,4,0,21,11,53,47,47%,53%,True
lh,Southern League Div...,GOOD,GOOD,1,1,3,2,1,1,3,0,9,4,26,22,55%,45%,False
fh,England National Le...,GOOD,GOOD,1,0,2,3,4,8,3,7,39,47,89,91,38%,62%,True
lh,England National Le...,GOOD,GOOD,2,4,1,1,2,1,1,3,13,23,36,46,31%,69%,False
fh,England EFL Cup,GOOD,GOOD,2,1,5,0,6,5,6,3,46,36,115,107,49%,51%,False
lh,England EFL Cup,GOOD,GOOD,4,1,0,2,2,2,6,1,31,12,63,50,57%,43%,False
