time,league,pitch,weather,score_home,score_away,corners_home,corners_away,on_target_home,on_target_away,off_target_home,off_target_away,dang_attacks_home,dang_attacks_away,attacks_home,attacks_away,possession_home,possession_away,target
lh,Israel Youth League,GOOD,GOOD,2,0,3,0,1,0,2,2,74,19,89,36,75%,25%,False
fh,Iran Div 1,GOOD,GOOD,0,0,1,1,1,1,4,1,44,31,82,62,61%,39%,False
lh,Iran Div 1,GOOD,GOOD,1,0,3,3,0,1,1,0,21,13,49,34,64%,36%,True
fh,Iran Div 1,GOOD,GOOD,2,0,1,1,5,0,7,1,83,38,113,87,56%,44%,False
lh,Iran Div 1,GOOD,GOOD,4,0,5,0,3,0,1,1,36,26,57,44,52%,48%,False
fh,Iraq League,GOOD,GOOD,1,0,0,1,2,6,5,2,80,69,96,82,53%,47%,False
lh,Iraq League,GOOD,GOOD,1,1,2,4,1,4,3,1,40,32,49,45,54%,46%,True
fh,Hong Kong Women Pre...,GOOD,GOOD,3,0,6,1,18,2,7,6,81,41,74,55,59%,41%,False
lh,Hong Kong Women Pre...,GOOD,GOOD,6,0,4,1,12,1,4,2,48,15,45,18,65%,35%,True
fh,Nepal Division 1,GOOD,GOOD,0,0,2,1,5,2,5,4,96,74,86,83,46%,54%,False
lh,Nepal Division 1,GOOD,GOOD,0,0,6,3,0,0,3,3,44,37,31,32,43%,57%,True
fh,China Super League,GOOD,GOOD,1,0,3,2,8,1,9,5,48,33,115,102,50%,50%,True
lh,China Super League,GOOD,GOOD,1,1,3,3,4,0,4,2,16,20,62,62,45%,55%,True
fh,China Super League,GOOD,GOOD,0,0,2,0,1,11,4,21,18,92,54,128,32%,68%,False
lh,China Super League,GOOD,GOOD,0,1,2,0,0,2,3,9,7,33,29,74,38%,62%,True
fh,Israel Liga Alef North,GOOD,GOOD,2,0,4,3,6,2,6,2,52,38,96,84,56%,44%,False
lh,Israel Liga Alef North,GOOD,GOOD,3,1,5,1,2,0,3,2,23,24,42,39,51%,49%,False
fh,Iraq League,GOOD,GOOD,0,0,0,2,1,5,1,8,58,77,118,106,55%,45%,False
lh,Iraq League,GOOD,GOOD,1,0,2,3,0,2,0,2,34,38,61,48,49%,51%,False
fh,Israel Youth League,GOOD,GOOD,0,1,0,2,2,7,6,11,56,109,110,160,36%,64%,True
lh,Israel Youth League,GOOD,GOOD,0,1,2,6,1,1,1,8,19,49,57,87,32%,68%,False
fh,Israel Youth League,GOOD,GOOD,0,0,1,3,7,4,9,4,41,43,70,74,50%,50%,False
lh,Israel Youth League,GOOD,GOOD,1,1,6,5,2,0,4,2,19,24,36,38,52%,48%,False
fh,Saudi Arabia Premie...,GOOD,GOOD,1,0,3,2,9,3,10,6,77,70,87,80,45%,55%,True
lh,Saudi Arabia Premie...,GOOD,GOOD,3,0,2,2,6,1,8,0,48,22,48,41,52%,48%,False
fh,Egypt Division 2,GOOD,GOOD,0,0,1,7,2,6,0,3,51,46,85,84,48%,52%,False
lh,Egypt Division 2,GOOD,GOOD,1,3,0,1,1,2,0,2,10,27,32,43,40%,60%,False
fh,Israel Youth League,GOOD,GOOD,0,1,5,1,2,4,4,5,58,47,88,73,60%,40%,True
lh,Israel Youth League,GOOD,GOOD,1,1,1,2,1,2,4,2,31,19,45,33,59%,41%,True
fh,AFF Cup,GOOD,GOOD,0,1,5,3,4,2,11,5,85,59,101,83,60%,40%,False
lh,AFF Cup,GOOD,GOOD,2,2,3,1,1,1,6,2,35,38,43,53,47%,53%,False
fh,Egypt Division 2,GOOD,GOOD,0,0,0,4,1,3,2,4,38,53,91,105,45%,55%,False
lh,Egypt Division 2,GOOD,GOOD,1,0,4,0,0,1,1,3,14,23,45,49,47%,53%,True
fh,Barclays Premier Le...,GOOD,GOOD,1,0,3,4,2,2,5,13,37,58,98,93,29%,71%,True
lh,Barclays Premier Le...,GOOD,GOOD,1,2,2,1,2,0,3,4,24,25,52,43,33%,67%,True
fh,Egypt Division 2,GOOD,GOOD,0,1,2,1,3,4,9,4,76,61,139,132,53%,47%,False
lh,Egypt Division 2,GOOD,GOOD,1,1,3,2,0,4,6,1,39,26,66,58,57%,43%,True
fh,Israel Youth League,GOOD,GOOD,1,1,3,0,9,6,6,4,57,39,97,81,51%,49%,True
lh,Israel Youth League,GOOD,GOOD,3,2,3,1,4,4,2,4,28,17,48,42,55%,45%,False
fh,Saudi Arabia Premie...,GOOD,GOOD,0,0,1,2,2,3,3,7,36,45,64,94,43%,57%,True
lh,Saudi Arabia Premie...,GOOD,GOOD,1,0,3,2,1,1,1,5,14,26,30,48,44%,56%,False
fh,UAE Division 1,GOOD,GOOD,0,0,7,5,2,0,0,0,53,59,83,79,48%,52%,True
lh,UAE Division 1,GOOD,GOOD,2,0,1,5,0,0,0,0,27,25,34,37,50%,50%,True
fh,UAE Division 1,REGULAR,RAINY,0,1,2,3,4,6,10,8,76,68,100,97,46%,54%,False
